id,genotype,chaq_present,infection_status,clade,num_reads_RNA1,num_reads_RNA2,num_reads_RNA3,num_reads_Chaq,count_RNA1,count_RNA2,count_RNA3,count_Chaq,rpm_RNA1,rpm_RNA2,rpm_RNA3,rpm_Chaq,num_total,rpm_total
1020-A7,A,y,co,A,19043,19569,29589,7615,21064269,21064269,21064269,21064269,904.0427655001937,929.013961984629,1404.7010128858494,361.51266393341257,75816,3599.270404304085
1020-D1,B,n,sin,B,386,2253,4047,0,17106013,17106013,17106013,NA,22.56516465876648,131.70807247720435,236.58347506224857,NA,6686,390.85671219821944
1020-D3,A,y,sin,A,204,629,383,337,21171904,21171904,21171904,21171904,9.63541115621911,29.709184398342256,18.090012121725092,15.91732137081294,1553,73.3519290470994
1020-F1,A,n,sin,B,129,899,762,0,21685884,21685884,21685884,NA,5.948570046764061,41.45553854295264,35.13806492739701,NA,1790,82.54217351711372
1020-F-31,A,y,sin,A,58349,141562,85227,67093,20083530,20083530,20083530,20083530,2905.3159479434144,7048.661266221626,4243.626493948026,3340.6975765714496,352231,17538.301284684516
1020-F-40,A,y,co,A,1339,4568,2585,2591,20292077,20292077,20292077,20292077,65.98634531102952,225.11249094905364,127.38962108215931,127.68530298795929,11083,546.1737603302017
1020-M-0818-A7,A,y,sin,A,266,428,316,362,22974416,22974416,22974416,22974416,11.578096261511066,18.629418044837355,13.754430145253746,15.756657318297014,1372,59.71860176989917
1428-M-21,A,n,sin,A,25847,25323,34630,0,34490744,34490744,34490744,NA,749.3894593865532,734.1969776007152,1004.0374890144438,NA,85800,2487.6239260017123
1428-M-3,A,n,co,B,7473,1043,10695,0,17466218,17466218,17466218,NA,427.85450175876656,59.71527436563542,612.3248891087928,NA,19211,1099.894665233195
1428-M-42,A,y,sin,A,92610,217118,160652,145042,31059947,31059947,31059947,31059947,2981.6535102265307,6990.288811503767,5172.32048077867,4669.743963181907,615422,19814.006765690872
1428-M-4,A,y,sin,A,10572,14554,12259,6051,17610793,17610793,17610793,17610793,600.3136826376871,826.4250224280077,696.1072110722101,343.596111770776,43436,2466.4420279086808
500-F-11,A,y,sin,A,7625,8659,9008,4247,23716518,23716518,23716518,23716518,321.50588041634103,365.1041860360783,379.8196683003804,179.0735048036984,29539,1245.503239556498
500-F-21,B,n,co,B,197,775,1794,0,20799350,20799350,20799350,NA,9.471449828961001,37.26077978398364,86.25269539673116,NA,2766,132.98492500967578
500-F-67,A,n,sin,A,6163,7824,8116,0,18387223,18387223,18387223,NA,335.1784007840662,425.5128683651686,441.39346110067845,NA,22103,1202.0847302499133
500-M-17,A,y,sin,A,16757,21439,26316,15187,20048311,20048311,20048311,20048311,835.8310084076409,1069.3668908069112,1312.6292783466897,757.5201721481675,79699,3975.3473497094096
500-M-54,A,n,sin,A,10130,12418,9643,0,13215186,13215186,13215186,NA,766.5423702700817,939.6765206331564,729.6908269017174,NA,32191,2435.9097178049556
500-M-60,A,n,co,A_B,735,3170,6623,0,16397254,16397254,16397254,NA,44.824578554433565,193.32505308510804,403.90909355920206,NA,10528,642.0587251987437
500-M-65-2,A,y,sin,A,7477,12033,8752,3908,19555736,19555736,19555736,19555736,382.3430629253739,615.3181859276481,447.54132495959243,199.83906512135366,32170,1645.041638933968
500-M-65,A,y,sin,A,9108,26803,18753,11502,16713531,16713531,16713531,16713531,544.9476834069354,1603.6707024984726,1122.0250227196157,688.184920349865,66166,3958.8283289748883
500-M-83,A,n,sin,A,19812,24473,20576,0,22237002,22237002,22237002,NA,890.9474397672852,1100.55303318316,925.3045891707884,NA,64861,2916.8050621212337
500-M-F10,A,y,sin,A,16532,24827,15321,11496,23390541,23390541,23390541,23390541,706.7814292965691,1061.4119613565158,655.0083642785346,491.4807229127364,68176,2914.682477844356
500-M-G2,B,n,sin,B,242,905,2941,0,19906935,19906935,19906935,NA,12.156567547942464,45.461543929288965,147.73745933263962,NA,4088,205.355570809871
Adobe-B8,A,y,sin,A,195598,505713,408754,335589,22953178,22953178,22953178,22953178,8521.60864173144,22032.373904824857,17808.165823486404,14620.589793709612,1445654,62982.738163752314
Adobe-C2,B,n,co,B,4349,7829,27664,0,29341067,29341067,29341067,NA,148.222285167748,266.8273788407218,942.8423308532032,NA,39842,1357.8919948616729
Briarwood-D9,A,y,sin,A,9709,21370,17364,40572,19751578,19751578,19751578,19751578,491.55566203368664,1081.9388709094535,879.1196328718647,2054.114359875449,89015,4506.728525690453
CVID-0825-B1,A,n,sin,B,266,1219,3437,0,18254288,18254288,18254288,NA,14.571918663713424,66.77883026716792,188.28452799692872,NA,4922,269.6352769278101
CVID-0825-C10,A,n,sin,A,7217,9106,8060,0,21566022,21566022,21566022,NA,334.6467883599488,422.23827834359065,373.7360557269208,NA,24383,1130.6211224304604
CVID-0911-F4,A,y,co,A,15185,13054,23087,11535,21234931,21234931,21234931,21234931,715.0953304251377,614.7418138537864,1087.2180371106458,543.2087347022696,62861,2960.2639160918393
CVID-1006-G6,A,y,sin,A,11638,12352,15771,4584,26194651,26194651,26194651,26194651,444.2891794969897,471.5466527880062,602.0694835751009,174.99755961627434,44345,1692.902875476371
CVID-1006-H2,A,y,co,A,18460,30666,22717,27481,23946045,23946045,23946045,23946045,770.8997456573727,1280.6290141023287,948.6744053141135,1147.6216636191905,99324,4147.824828693006
CVID-1006-H3,A,y,sin,A,22908,36683,21364,13431,19863474,19863474,19863474,19863474,1153.2725846445592,1846.7565139914598,1075.5419721645872,676.165709986078,94386,4751.736780786684
ME-F-1,A,y,co,A_B,14635,31126,92551,91,25210202,25210202,25210202,25210202,580.5189502249923,1234.6588892861707,3671.172488026871,3.6096497759121484,138403,5489.959977313946
ME-F-3,A,y,sin,A,14558,17597,30249,13857,5029551,5029551,5029551,5029551,2894.492967662521,3498.7218540979106,6014.254552742383,2755.1167092251376,76261,15162.58608372795
mel-21-MDS-9,B,y,sin,A,7972,11597,7386,4605,13805768,13805768,13805768,13805768,577.4398063186344,840.0112184993983,534.9937794116199,333.55623533583935,31560,2286.0010395654917
ME-M-11,A,y,sin,A,30812,29728,69479,23988,12823668,12823668,12823668,12823668,2402.7446749245228,2318.2134783901142,5418.028601489059,1870.603636962529,154007,12009.590391766224
ME-M-14,A,n,co,B,6924,40104,71517,0,36012060,36012060,36012060,NA,192.2689232440466,1113.6269349767829,1985.9180507863198,NA,118545,3291.813909007149
ME-M-17,A,n,co,B,4102,21975,57781,0,25700287,25700287,25700287,NA,159.6091125363697,855.0488171591236,2248.262830683564,NA,83858,3262.9207603790574
ME-M-1,A,y,co,A,83932,487672,186157,64848,33654216,33654216,33654216,33654216,2493.9520207512783,14490.665894579151,5531.4614965328565,1926.8908240203841,822609,24442.970235883673
ME-M-20,A,n,sin,B,3855,21254,60684,0,33130715,33130715,33130715,NA,116.35728356602023,641.5195084078324,1831.653799201134,NA,85793,2589.5305911749865
ME-M-10,B,n,sin,B,16956,10475,15955,0,9538753,9538753,9538753,NA,1777.5908444216973,1098.1519282447086,1672.6505026390766,NA,43386,4548.393275305483
ME-M-4,B,n,co,B,3357,13694,13488,0,34675541,34675541,34675541,NA,96.81175558299148,394.91813552382644,388.9773486158442,NA,30539,880.7072397226622
ME-M-6,A,n,sin,B,2503,11132,36906,0,8805596,8805596,8805596,NA,284.2510603484421,1264.1960862160836,4191.198415189614,NA,50541,5739.645561754139
ME-M-7,A,y,co,A_B,4217,29362,42676,415,24506875,24506875,24506875,24506875,172.0741628624621,1198.11277447655,1741.3888959730687,16.934023615822092,76670,3128.509856927903
ME-M-8,A,y,co,A,158,428,516,116,38398751,38398751,38398751,38398751,4.114717168795412,11.146195874964787,13.437937082901472,3.020931592280176,1218,31.71978171894185
Myrtle-E9,A,y,sin,A,6283,5083,9148,5628,10538900,10538900,10538900,10538900,596.1722760439894,482.30840030743246,868.0222793650191,534.0215772044521,26142,2480.5245329208933
OH-M-5,A,y,sin,A,28073,60334,47164,21723,14288888,14288888,14288888,14288888,1964.6735281289907,4222.441942298099,3300.7467061117704,1520.2722563155369,157294,11008.134432854398
Peach-10-F10,A,n,sin,A,11009,5787,5834,0,17306431,17306431,17306431,NA,636.1219132933878,334.38436844661965,337.1001219142179,NA,22630,1307.6064036542255
Peach-13-H7,A,y,co,A,156,205,252,130,19716283,19716283,19716283,19716283,7.91224187642265,10.397497337606687,12.78131380037505,6.593534897018875,743,37.684587911423264
Peach-9-F8,A,n,sin,A,13558,13118,9176,0,18203129,18203129,18203129,NA,744.8170037140319,720.645335205832,504.08915961645937,NA,35852,1969.5514985363234
Penn-F-12,A,y,co,A,2939,7131,2450,829,28093090,28093090,28093090,28093090,104.6164733035775,253.83466183321235,87.21005770458144,29.509035851876742,13349,475.1702286932481
Penn-F-2,A,y,co,A,223880,530517,370293,763790,35900312,35900312,35900312,35900312,6236.157501918089,14777.503883531708,10314.478603974248,21275.302565615584,1888480,52603.44255503963
Penn-F-3,A,y,co,A,69057,121357,82713,30215,28642317,28642317,28642317,28642317,2411.0130475827077,4236.982643548006,2887.7901183762474,1054.9076738449617,303342,10590.693483351923
Penn-F-4,A,y,co,A_B,2567,40657,20381,316,27777668,27777668,27777668,27777668,92.41236521366733,1463.6577843755638,733.7188996570914,11.376044958129675,63921,2301.1650942044525
Penn-F-9,A,y,co,A,158502,319342,189172,733713,32947795,32947795,32947795,32947795,4810.701292757223,9692.363328107389,5741.567834812618,22268.956086439168,1400729,42513.5885421164
Penn-M-10,A,y,co,A,366548,881346,422744,2035854,33420700,33420700,33420700,33420700,10967.693674878143,26371.26092511527,12649.16653451304,60915.95927075136,3706492,110904.08040525782
Penn-M-8,A,y,sin,A,154,386,221,178,21644272,21644272,21644272,21644272,7.115046419671681,17.833817649306937,10.210553628230139,8.223884822737396,939,43.383302519946156
1020-B6,A,y,sin,A,11554,31094,24163,9731,16369948,16369948,16369948,16369948,705.8055407384311,1899.4562475091552,1476.0584456346471,594.4429389757377,76542,4675.763172857971
1020-C2,A,n,sin,B,478,2620,3889,0,23239157,23239157,23239157,NA,20.56873233396547,112.7407504497689,167.34686202257683,NA,6987,300.65634480631115
1020-F-0818-D11,B,n,sin,B,371,1717,3163,0,21081201,21081201,21081201,NA,17.598617839657237,81.4469725894649,150.03889009928798,NA,5251,249.08448052841015
1020-F-0818-D4,A,y,sin,A,4193,7081,7204,4264,21763086,21763086,21763086,21763086,192.66569088593408,325.3674593759359,331.0192313718744,195.92809585919937,22742,1044.980477492944
1020-F-36,B,n,sin,B,214,2008,2252,0,22496067,22496067,22496067,NA,9.512773943996521,89.26004710067764,100.10638748542135,NA,4474,198.87920853009553
1020-F-44,B,n,sin,B,469,3771,4467,0,17656681,17656681,17656681,NA,26.562183459054392,213.57354759934782,252.99205439572702,NA,8707,493.12778545412925
1020-F6,A,y,sin,A,1569,3058,2303,1509,2304906,2304906,2304906,2304906,680.7219036264386,1326.7352334542059,999.1730682292466,654.6904732774351,8439,3661.3206785873267
1020-G3,A,n,sin,B,541,4644,4702,0,16176179,16176179,16176179,NA,33.44423921125007,287.0888112699544,290.6743304460219,NA,9887,611.2073809272264
1020-M-0818-A10,B,n,sin,B,504,5070,5521,0,20062773,20062773,20062773,NA,25.12115349159361,252.70684167138808,275.1862865616831,NA,11095,553.0142817246649
1020-M-0818-A5,A,y,sin,A,117991,373499,263045,190428,20838328,20838328,20838328,20838328,5662.210519001333,17923.65491127695,12623.133679439155,9138.353134666082,944963,45347.35224438352
1020-M-19,A,y,co,A,124093,455041,236037,215270,20736676,20736676,20736676,20736676,5984.228137624372,21943.77729584047,11382.586100105918,10381.123763519283,1030441,49691.71529709004
1020-M-8,B,n,sin,B,462,3987,4529,0,19188312,19188312,19188312,NA,24.077156969305065,207.78273774160022,236.0290993809148,NA,8978,467.88899409182005
1428-F-21,A,n,sin,B,1123,6111,9880,0,32301333,32301333,32301333,NA,34.76636707221959,189.18723880528398,305.86972989628634,NA,17114,529.8233357737898
1428-F-8,A,y,sin,A,3960,5993,4337,1750,12564800,12564800,12564800,12564800,315.1661785304979,476.967400993251,345.1706354259519,139.2779829364574,16040,1276.5821978861582
500-F-41,A,y,co,A,149255,443335,0,135101,21675749,21675749,21675749,21675749,6885.805883801294,20453.041784161647,NA,6232.818067786262,727691,33571.6657357492
500-M-16,B,n,co,B,769,3497,8253,0,20754003,20754003,20754003,NA,37.05309284189657,168.49761465294188,397.6582252590018,NA,12519,603.2089327538404
500-M-57,A,y,sin,A,14323,20767,13719,9888,20943598,20943598,20943598,20943598,683.8844022884701,991.5679244798339,655.0450404939972,472.1251811651465,58697,2802.622548427448
500-M-61-2,A,y,co,A,6470,4734,5800,88,17915691,17915691,17915691,17915691,361.13594502160146,264.23764508999403,323.7385596793336,4.9118953882381655,17092,954.0240451791672
500-M-61,A,y,sin,A,17817,30702,19127,10656,15038203,15038203,15038203,15038203,1184.7825169004568,2041.6003162079935,1271.8939889293952,708.5953022445568,78302,5206.872124282402
500-M-71-2,A,y,sin,A,41276,115913,54202,92541,16770372,16770372,16770372,16770372,2461.2453438719185,6911.772738255299,3232.0094032499696,5518.124463786492,303932,18123.15194916368
500-M-84,A,y,sin,A,161981,493097,318246,399310,24215901,24215901,24215901,24215901,6689.034614074447,20362.529562703447,13142.025977063582,16489.578479859163,1372634,56683.16863370064
500-M-F11,B,n,co,B,466,2432,3039,0,25006399,25006399,25006399,NA,18.635230126496822,97.25510658291904,121.52889346442885,NA,5937,237.41923017384468
Adobe-B4,B,n,sin,B,1013,2820,10135,0,28557088,28557088,28557088,NA,35.47280451003968,98.74956438135429,354.9031329805056,NA,13968,489.1255018718996
Adobe-B6,A,n,co,B,1764,4104,8997,0,22731948,22731948,22731948,NA,77.6000367412419,180.53886098982807,395.7865819506538,NA,14865,653.9254796817237
CVID-1006-G7,A,y,sin,A,8721,19886,14028,13493,21786492,21786492,21786492,21786492,400.2939068850552,912.7674156995995,643.8852110748256,619.3287106524538,56128,2576.2752443119343
James-A4,B,n,sin,B,1354,11073,23338,0,30470269,30470269,30470269,NA,44.43675899283987,363.4034212169246,765.9269434083434,NA,35765,1173.7671236181077
James-A5,A,y,co,A,280,1122,570,164,25664461,25664461,25664461,25664461,10.910028463095328,43.718042627117704,22.209700799872635,6.390159528384406,2136,83.22793141847008
mel-20-TD-3,B,n,co,B,375,1385,2609,0,30888907,30888907,30888907,NA,12.140280651562065,44.83810320643589,84.46397925313447,NA,4369,141.4423631111324
ME-M-18,A,n,co,B,2326,17557,53019,0,57467686,57467686,57467686,NA,40.47492011423602,305.51082220362935,922.5880436529147,NA,72902,1268.5737859707804
ME-M-19,B,n,sin,B,10035,81718,225460,0,35546977,35546977,35546977,NA,282.30248665027125,2298.873403496449,6342.592789254624,NA,317213,8923.768679401346
ME-M-2,A,y,co,A,20655,31052,62049,34852,12552711,12552711,12552711,12552711,1645.4612872072018,2473.728583411185,4943.075643181779,2776.4520349428904,148608,11838.717548743056
ME-M-3,A,y,co,A,1422,2703,5638,1500,16023950,16023950,16023950,16023950,88.74216407315299,168.68499964116214,351.8483270354688,93.60987771429642,11263,702.8853684640803
Myrtle-D11,B,n,sin,B,1047,8588,12349,0,33034041,33034041,33034041,NA,31.694578329063646,259.97424898758226,373.8265021830057,NA,21984,665.4953294996516
Myrtle-D5,B,n,sin,B,453,1926,2766,0,28852825,28852825,28852825,NA,15.70036902798946,66.75256235741215,95.86582942918068,NA,5145,178.31876081458228
Peach-8-F7,A,n,sin,A,19621,24132,15273,0,25545167,25545167,25545167,NA,768.0904963353734,944.6796726754615,597.8821747377889,NA,59026,2310.6523437486235
Penn-M-14,A,y,sin,A,535,1395,651,0,34978590,34978590,34978590,NA,15.295070498839435,39.88153896426356,18.611384849989665,NA,2581,73.78799431309267
Penn-M-15,A,y,co,A,453642,992018,617999,0,35379094,35379094,35379094,NA,12822.318174682483,28039.666589540142,17467.914808672038,NA,2063659,58329.89957289466
Penn-M-2,A,y,co,A_B,2963,7755,5465,10734,29938292,29938292,29938292,29938292,98.97024185614865,259.0328132279557,182.54214368675406,358.5374877097197,26917,899.0826864805782
sim-20-TD-4,B,n,co,B,429,2062,4187,0,28954115,28954115,28954115,NA,14.816546801724039,71.2161293826456,144.60811528862132,NA,6678,230.64079147299097
Penn-F-6,A,y,co,A_B,0,36920,0,126,NA,26632836,26632836,26632836,NA,1386.2586770706657,NA,4.731001985669119,37046,1390.9896790563348
ME-F-2,A,y,co,A,0,194,394,190,NA,23791282,23791282,23791282,NA,8.1542474255906,16.560688070529363,7.986118612691825,778,32.70105410881179
ME-F-9,B,n,co,B,0,708,1441,0,NA,10672795,10672795,NA,NA,66.33688738516949,135.016178985917,NA,2149,201.35306637108647
Penn-F-1,A,y,sin,A,0,195,122,188,NA,10653474,10653474,10653474,NA,18.30388847806828,11.45166356063759,17.64682581475301,505,47.40237785345888
Penn-M-11,A,y,co,A,0,334,208,336,NA,12290562,12290562,12290562,NA,27.175323634509144,16.923554838257193,27.338050123338544,878,71.43692859610488
1428-M-6,A,n,co,B,0,0,470,0,NA,NA,14192338,NA,NA,NA,33.1164604450655,NA,470,33.1164604450655
